language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
finnish,modify,Gemma3n E4B,,15,5,ok,-22.128255922093338,0.6962961858655938,1.1234573106556578,3.8,0.26387424767597045,14.40079899220133,5.114876819055738e-47,7.706414407377311e-46,True
finnish,modify,DeepSeek R1,,15,5,ok,-34.95745954321645,8.625540057624544,0.0003043802767038351,1.6000000000000012,0.9287378563203154,1.7227681515419697,0.0849304603323297,0.09645368861862569,False
finnish,modify,gpt 3.5,,15,5,ok,-35.109430408250795,8.11858331460514,0.8492972688516695,2.4,0.901031814899182,2.6636129383162124,0.007730645676342565,0.00914725614059382,True
finnish,modify,gpt 4,,15,5,ok,-27.15387587863392,1.896294043558443,1.1234622335247397,4.6000000000000005,0.435464584502396,10.563430790259112,4.4027029595601614e-26,3.316702896201988e-25,True
finnish,modify,gpt-4.1,,15,5,ok,-27.450860594085988,2.7179334525312457,7.93268061649664e-05,3.4000000000000026,0.5213380335762249,6.521680332196381,6.952406628953639e-11,1.9130425719259192e-10,True
finnish,modify,gpt-4o,,15,5,ok,-26.855532449487256,1.9555556767940228,0.7592590220061806,3.800000000000003,0.4422166524220931,8.593073054094141,8.467366458050359e-18,4.0715421691901727e-17,True
finnish,modify,gpt-5,,15,5,ok,-41.61703336571998,19.733064203376955,5.900472623420387,9.200000000000003,1.4047442544241626,6.549234831198008,5.783263045732916e-11,1.621964923676052e-10,True
finnish,modify,gpt-5 mini,,15,5,ok,-33.217471297419344,6.600000000000003,9.80066590396684e-35,5.400000000000002,0.812403840463596,6.64694051288397,2.992479000457059e-11,8.560762710168296e-11,True
finnish,modify,gpt-5 nano,,15,5,ok,-29.26226608896922,3.290702552919684,0.36068862542674335,5.1,0.5736464549633064,8.890493362024218,6.083816987627444e-19,3.437356598009506e-18,True
finnish,modify,gpt-oss-120b,,15,5,ok,-40.20867804359016,18.488880900871354,0.9814910892745421,7.399999999999994,1.3597382432244582,5.4422239257254175,5.261947151894334e-08,1.1892000563281195e-07,True
finnish,modify,gpt-oss-20b,,3,1,fit_failed: LinAlgError: Singular matrix,,,,,,,,,
finnish,modify,bleurt_score,,15,5,ok,3.160302158520558,0.012290863129113528,0.034406796386681926,0.03301959931850433,0.035058327297681394,0.9418475399049658,0.3462707017513118,0.3674045943464623,False
finnish,modify,bertscore_f1__roberta-large,,15,5,ok,31.137953810025408,0.0002344206094714117,0.00016135841074997777,-0.015016472339630127,0.004841700212439962,-3.101487428124472,0.001925510484238386,0.0024585614092535323,True
finnish,modify,bertscore_f1__xlm-roberta-base,,15,5,ok,32.604537323688206,0.00018264837966365337,0.00014081138664717298,-0.014670431613922114,0.004273738172415963,-3.432693118312593,0.0005976181084058994,0.0008323679926702525,True
finnish,modify,bertscore_precision__roberta-large,,15,5,ok,32.041506466320385,0.00020320328924223563,0.0001425201268552603,-0.014819800853729248,0.004507807551817577,-3.2875850806349995,0.0010105064991182005,0.001359371838099484,True
finnish,modify,bertscore_precision__xlm-roberta-base,,15,5,ok,32.31569399605927,0.00019605039089262957,0.0001333614367583053,-0.016194063425064093,0.0044277577947831525,-3.6573959497387527,0.0002547906357970143,0.00037391353045535864,True
finnish,modify,bertscore_recall__roberta-large,,15,5,ok,30.280751886064735,0.00026819204419301285,0.0001822023685414546,-0.01520804762840271,0.005178726138665887,-2.9366387063519293,0.003317904044295926,0.004120034692367468,True
finnish,modify,bertscore_recall__xlm-roberta-base,,15,5,ok,32.585812431846975,0.00018105498772821215,0.00014729330897330284,-0.013147252798080449,0.004255055672117725,-3.089795718592117,0.0020029420434874235,0.002543061246225605,True
finnish,synonyms,bleu_score,,15,5,ok,43.264756532824684,1.5302779148538152e-05,0.0002535765301001079,-0.045378411762894665,0.001237044023005574,-36.68294007244897,1.366327171507845e-294,1.543949703803865e-292,True
finnish,synonyms,rouge_1,,15,5,ok,44.32934724957888,2.6746400548013375e-05,3.433310982477542e-05,-0.023044643500770873,0.0016354326812196634,-14.090854221883822,4.3230058743737686e-45,5.747054868285127e-44,True
finnish,synonyms,rouge_2,,15,5,ok,39.40114668886805,4.7520647887712154e-05,0.00012362911059308888,-0.04465773420557598,0.0021799231153348544,-20.48592167835065,2.8749121289272964e-93,1.082883568562615e-91,True
finnish,synonyms,rouge_3,,15,5,ok,38.648168154204456,4.2590419835306023e-05,0.00024583075716124196,-0.06103845182687987,0.002063744650757598,-29.57655241140067,2.992767142672637e-192,2.2545512474800535e-190,True
finnish,synonyms,rouge_4,,15,5,ok,37.86959628740175,3.835145583809125e-05,0.00047309366047355877,-0.07512174801223383,0.001958352773074638,-38.35966075422241,0.0,0.0,True
finnish,synonyms,rouge_l_score,,15,5,ok,42.74964488655335,3.341134327358182e-05,4.661734143531565e-05,-0.025444778924495547,0.0018278770000626906,-13.92039996324855,4.762316308972207e-44,5.979352699042882e-43,True
finnish,synonyms,Gemma3n E2B,,15,5,ok,-36.948882273602315,11.710719048912697,0.00797908797853261,-1.1000000000000008,1.0821607574160463,-1.016484835974417,0.3093985649861539,0.32983054569278675,False
finnish,synonyms,Gemma3n E4B,,15,5,ok,-30.88035384367111,2.8630002824204337,3.5233130256554093,3.3000000000000007,0.5350701152578449,6.167416018758147,6.941495762182058e-10,1.7626719575878035e-09,True
finnish,synonyms,DeepSeek R1,,15,5,ok,-22.45426520139535,0.9185210072159042,0.5493766708018296,0.8,0.30307111495751365,2.6396444943694117,0.008299303557245891,0.009768971895508185,True
